O	 D	 AMOEBA	 FlowValue
148	4	0	97.73737966
2	44	0	274.6498215
149	19	0	39.50071101
10	101	0	126.443564
138	62	0	35.96055128
52	21	0	-442.5425142
146	46	0	943.381142
77	59	0	-142.9061392
132	109	0	27.91035195
32	73	0	48.43344706
12	56	0	1647.739924
146	65	0	-1065.492257
4	39	0	82.37096588
71	145	0	-13.85613453
48	73	0	37.67045883
29	41	0	359.1783268
143	33	0	133.3185202
110	44	0	-1344.3386
2	77	0	106.0118348
47	112	0	405.0564547
135	31	0	39.81116934
108	2	0	-116.117046
143	86	0	-79.70032677
136	128	0	259.6867271
63	144	0	-1502.704869
101	45	0	-17.90132076
13	17	0	49.41677463
146	41	0	15.84610265
45	75	0	177.1296146
1	45	0	-64.44475473
129	16	0	21.48227712
4	46	0	1007.339185
48	64	0	34.79572013
104	125	0	116.6530571
103	31	0	-15.71493526
33	39	0	-181.2161249
146	138	0	798.0239407
84	131	0	90.56494412
104	140	0	642.8351826
108	121	0	39.86113829
148	10	0	72.6502823
82	145	0	60.96699192
134	45	0	-82.34607549
45	51	0	201.6338452
119	44	0	-43.36576129
138	32	0	0
49	48	0	-214.7478055
108	136	0	696.7072543
91	64	0	-34.79572013
45	68	0	226.3410708
50	17	0	116.0219926
4	21	0	339.4258118
80	110	0	164.2845408
143	49	0	15.34103112
46	29	0	752.4330045
11	77	0	-173.4739115
144	101	0	150.5280524
143	55	0	91.78996162
54	45	0	25.06184906
93	30	0	-101.3740796
9	55	0	160.6324328
84	138	0	114.0034201
148	17	0	-358.8087549
24	31	0	34.57285758
45	44	0	151.7801645
138	43	0	196.5974597
123	46	0	-191.8741306
13	3	0	647.5596594
96	29	0	818.580961
74	51	0	36.66069912
8	72	0	-114.6894941
64	101	0	28.09856978
148	60	0	318.4064395
17	82	0	43.70366728
44	10	0	-31.13583527
83	33	0	-16.66481502
84	145	0	11.08490762
12	35	0	370.6174487
91	33	0	-55.5493834
134	31	0	106.8615598
122	108	0	1315.59164
67	72	0	-2.123879521
45	135	0	76.27681947
126	80	0	-97.22456281
149	7	0	519.2522767
135	52	0	-24.55795678
57	83	0	-71.26060001
80	92	0	1241.163456
43	96	0	-536.2649149
50	146	0	375.4192181
63	72	0	-18.05297593
145	91	0	-16.11525631
122	142	0	246.123554
22	20	0	389.9996657
79	45	0	-118.148717
27	91	0	56.4033971
128	44	0	-296.3327021
6	77	0	72.28079644
120	33	0	99.98889012
123	60	0	343.8789546
55	69	0	-406.4155599
95	50	0	-6.932457071
132	72	0	6.371638562
80	43	0	-273.832176
124	21	0	-21.48264632
89	109	0	-195.3724636
90	101	0	-28.09856978
53	31	0	176.007275
110	45	0	21.48158491
26	51	0	18.33034956
51	41	0	-169.0250949
90	20	0	-111.4284759
143	2	0	2032.048305
2	40	0	167.6654144
5	45	0	46.54343397
61	64	0	-11.59857338
27	80	0	369.4533387
119	131	0	-24.15065177
55	45	0	-21.48158491
118	61	0	209.8048815
141	121	0	21.74243907
70	33	0	-216.6425953
1	145	0	41.56840358
97	133	0	282.3795181
8	125	0	-233.3061143
104	49	0	122.728249
124	44	0	-79.50389569
107	44	0	93.95914945
39	21	0	120.3028194
95	72	0	88.14100011
29	31	0	129.9101315
43	51	0	0
90	31	0	-7.333636457
9	83	0	-142.5212
40	43	0	400.2162572
113	103	0	-433.557338
62	40	0	-161.4555842
87	32	0	77.06052623
29	15	0	359.4471703
63	11	0	632.1670097
11	17	0	36.52544212
50	44	0	130.0972839
124	43	0	-21.06401354
87	145	0	99.76416859
118	125	0	199.9766694
110	114	0	365.6030559
149	131	0	169.0545624
71	44	0	-79.50389569
46	64	0	579.9286688
29	91	0	330.3627544
148	77	0	404.7724601
5	31	0	7.333636457
27	46	0	239.8426632
29	137	0	-330.9918723
123	82	0	-366.0182135
87	72	0	-12.74327712
128	49	0	48.57993189
48	112	0	303.7923411
116	51	0	223.019253
50	84	0	111.0261281
144	145	0	166.2736143
35	15	0	53.91707554
3	86	0	199.2508169
