O	 D	 AMOEBA	 FlowValue
135	32	0	144.4884867
48	138	0	199.5059852
144	40	0	149.0359239
26	4	0	244.3434492
97	121	0	155.8208133
100	146	0	800.894332
87	73	0	107.6298824
108	82	0	486.2032985
91	10	0	114.1647293
148	51	0	213.8540782
6	49	0	20.45470816
87	62	0	125.8619295
149	28	0	227.8942571
82	17	0	40.82255296
63	49	0	104.8303793
124	33	0	138.8734585
150	117	0	1955.070272
29	131	0	1279.984544
50	78	0	38.84023071
146	112	0	995.7637846
8	17	0	8.594221675
19	45	0	297.1619246
148	82	0	557.2217579
24	32	0	24.08141445
59	51	0	33.60564086
6	35	0	518.8644281
45	124	0	228.2844424
136	45	0	218.3961133
28	75	0	1608.927333
11	5	0	1369.55878
139	72	0	56.2828073
75	32	0	4.816282889
46	84	0	271.3972021
11	146	0	58.39854504
123	137	0	12.25895823
77	141	0	373.7541528
137	131	0	241.5065177
89	43	0	1137.456731
8	31	0	489.2583179
100	80	0	64.81637521
150	30	0	368.6330166
140	32	0	52.97911178
52	130	0	49.64010921
93	40	0	217.3440556
35	40	0	242.1833763
149	48	0	228.1695434
11	51	0	97.76186432
140	72	0	5.309698804
122	31	0	713.458061
28	33	0	77.76913676
28	80	0	375.9349762
85	33	0	49.99444506
93	33	0	61.10432174
150	40	0	366.3799795
137	37	0	235.9401141
46	105	0	353.0138558
4	95	0	356.7052839
23	77	0	221.6611091
40	43	0	400.2162572
4	49	0	268.4680446
63	91	0	16.11525631
144	121	0	318.8891063
1	75	0	369.0200304
8	131	0	102.64027
118	34	0	1737.291336
13	142	0	697.3500697
19	78	0	116.5206921
68	123	0	16.80563997
149	75	0	487.1064401
80	121	0	61.60357736
63	64	0	266.7671876
29	80	0	427.7880764
13	135	0	533.9377363
17	76	0	29.25773136
145	23	0	1234.780611
128	73	0	16.14448235
2	44	0	274.6498215
10	101	0	126.443564
146	46	0	943.381142
50	31	0	229.4380548
103	121	0	94.21723596
29	41	0	359.1783268
143	33	0	205.5327186
136	128	0	259.6867271
108	145	0	554.2453811
146	41	0	58.10237638
129	16	0	21.48227712
4	46	0	1007.339185
36	84	0	240.556611
84	131	0	169.0545624
104	140	0	642.8351826
17	62	0	242.7337211
45	51	0	201.6338452
83	128	0	362.7370157
13	10	0	321.7369645
108	136	0	696.7072543
45	68	0	226.3410708
4	21	0	339.4258118
46	29	0	752.4330045
104	100	0	231.0636147
36	83	0	712.6060001
9	55	0	200.790541
84	138	0	114.0034201
24	31	0	38.76350698
13	3	0	647.5596594
74	51	0	36.66069912
64	101	0	28.09856978
108	21	0	180.4542291
12	35	0	370.6174487
63	45	0	537.0396227
149	7	0	519.2522767
80	92	0	1241.163456
50	146	0	375.4192181
135	96	0	2078.026545
22	20	0	389.9996657
47	112	0	405.0564547
6	77	0	72.28079644
120	33	0	99.98889012
123	60	0	343.8789546
53	31	0	176.007275
143	2	0	2032.048305
27	80	0	369.4533387
97	133	0	282.3795181
107	44	0	93.95914945
95	72	0	88.14100011
29	31	0	187.5315608
87	32	0	77.06052623
29	15	0	359.4471703
63	11	0	632.1670097
29	103	0	1534.125965
87	145	0	99.76416859
110	114	0	365.6030559
46	64	0	579.9286688
148	77	0	404.7724601
27	46	0	239.8426632
128	49	0	48.57993189
148	60	0	318.4064395
116	51	0	223.019253
3	86	0	199.2508169
144	32	0	149.3047696
48	21	0	429.6529264
29	17	0	66.60521796
2	53	0	583.1522027
133	83	0	90.69530911
27	39	0	313.0096704
138	110	0	328.5690816
45	2	0	899.9071064
88	113	0	2173.611432
23	128	0	255.5647156
99	83	0	97.17354547
28	77	0	207.2049498
29	121	0	221.0481305
68	52	0	785.8546169
89	73	0	1512.199847
