O, D, AMOEBA, FlowValue
73, 33, -4, -397.3509934
37, 11, 0, -43.38677137
81, 33, -4, -87.91208791
63, 145, 0, -21.41130474
92, 101, 0, -263.0771254
123, 17, 0, 8.036970062
91, 72, 0, 314.5921608
146, 40, 0, -118.1434599
108, 40, 0, 34.85181641
106, 84, 0, -70.42088214
82, 64, 0, 483.6242577
46, 131, 0, 11.03762792
13, 99, 0, 17.3091851
90, 128, 0, 135.4933992
40, 31, 0, -92.65049915
39, 121, 0, -11.42653424
4, 45, 0, 166.77233
46, 21, 0, 7.791266769
11, 85, 0, -247.5194708
13, 71, 0, -8.876505178
144, 109, 0, -19.30734169
2, 71, 0, -10.18363642
80, 5, 0, 60.41261818
81, 137, 0, 62.79434851
33, 145, 0, 44.12835467
149, 56, 0, 0
21, 56, -2, -5250.063254
30, 109, 0, 294.9925023
13, 11, 0, 23.52273872
126, 33, -4, -405.9585697
23, 86, 0, 4.172656167
8, 64, 0, -14.16191426
124, 15, 0, -60.54184955
31, 145, 0, 113.2146676
78, 55, 0, -183.1938007
139, 126, 0, -408.8307441
93, 31, 0, 52.84419184
97, 68, 0, -370.6998814
81, 130, 0, 50.23547881
26, 72, 0, -48.33069241
138, 91, 0, 406.8945276
23, 11, 0, 31.29492125
52, 114, 0, 50.94965378
148, 16, 0, 1.997823704
141, 79, 0, 190.6928507
55, 116, 0, 66.81539278
2, 10, 0, 11.45659098
82, 50, 0, -11.24707576
63, 20, 0, 21.41130474
102, 49, 0, 135.7690297
143, 140, 0, 71.89417178
75, 17, 0, -69.50075292
115, 134, 0, 57.21842179
80, 100, 0, 20.13753939
26, 32, 0, 62.13946167
63, 101, 0, 32.11695711
46, 39, 0, 16.23180577
68, 112, 0, -529.2976025
26, 83, 0, 31.06973083
52, 121, -4, -65.27924391
148, 31, 0, 295.6779082
77, 79, -4, -764.7385984
10, 24, 0, 163.6884463
36, 123, 0, -58.910162
141, 72, 0, 23.41842026
55, 77, 0, -48.25556145
3, 123, 0, 203.2806367
60, 120, 0, -330.0394106
63, 29, 0, 42.82260948
28, 17, 0, -15.4883476
124, 29, 0, 363.2510973
71, 77, 0, -14.52032119
51, 33, 0, 49.0857774
145, 100, 0, 53.65494178
112, 17, 0, -16.96763
93, 17, 0, 223.1199211
61, 72, 0, 708.324351
47, 21, 0, -100.014002
108, 101, 0, 107.7237962
128, 43, 0, 59.27135745
19, 121, 0, 23.56606685
148, 38, 0, 13.98476593
45, 31, 0, 37.35638804
29, 132, 0, -4.884482001
91, 84, 0, -511.2122612
23, 125, 0, 6.25898425
26, 131, 0, 75.94823092
84, 125, 0, -16.76299803
34, 49, 0, 131.0444241
101, 49, 0, 358.8148857
1, 10, 0, -46.78143713
8, 36, 0, 9.804402177
100, 29, 0, 68.54244491
46, 49, 0, 46.09832838
144, 73, 0, 4.45554039
145, 93, 0, 5.47499406
19, 17, 0, 192.2494927
137, 126, 0, -49.79442018
122, 81, 0, 40.18130378
63, 131, 0, 74.93956659
19, 126, 0, 7.441915847
148, 45, 0, 84.5745368
59, 23, 0, 101.2255034
23, 5, 0, 16.69062467
84, 21, 0, 56.9941933
123, 50, 0, 32.14788025
87, 40, 0, -83.64754784
146, 7, 0, -185.6540084
39, 133, 0, 77.70043284
149, 10, 0, -18.09749672
25, 20, 0, 21.85481844
136, 49, 0, 42.5694947
28, 103, 0, 15.4883476
104, 48, 0, 33.29806205
50, 52, 0, 46.37816758
107, 45, 0, -193.5733643
144, 49, 0, 57.17943501
57, 94, 0, 151.765795
149, 123, 0, 25.17912588
80, 73, 0, 45.30946364
99, 138, 0, -107.4434987
46, 56, 0, 16.23180577
144, 64, 0, -1.48518013
128, 138, 0, 405.0209425
148, 69, 0, -16.64853087
22, 33, 0, 1617.679673
40, 98, 0, 1005.257916
78, 91, 0, -1190.759705
19, 135, 0, 9.922554462
131, 20, 0, 655.7377049
23, 2, 0, 14.60429658
45, 17, 0, -3.735638804
49, 86, 0, 178.3673442
32, 10, 0, -23.2192198
87, 33, 0, 96.51640135
74, 91, 0, 486.7579707
95, 33, 0, 117.8791189
134, 146, 0, 31.62495335
135, 32, 0, 311.4068323
121, 17, -5, -147.7486795
104, 55, 0, 53.64687775
32, 121, 0, 10.71656298
144, 40, 0, -34.15914299
71, 56, 0, -24.20053532
110, 109, 0, -50.21435252
26, 4, 0, 51.78288472
137, 31, 0, -106.702329
46, 67, 0, 23.37380031
19, 31, 0, 115.3496956
147, 82, 6, 193.0014698
97, 121, 0, 637.603796
78, 133, 0, 36.63876014
100, 146, 0, 299.0943051
29, 138, 0, -16.28160667
87, 73, 0, 128.6885351
108, 82, 6, 140.9914391
91, 10, 0, 108.1410553
148, 51, 0, 19.97823704
116, 50, 0, 14.10528751
6, 49, 0, 59.60585628
13, 33, -4, -48.37695322
87, 62, 0, 90.0819746
149, 28, 0, 0.786847684
82, 17, 0, 213.6944394
63, 49, 0, 85.64521896
104, 62, 0, 351.4795439
124, 33, 0, -20.18061652
146, 136, 0, -227.8481013
2, 133, 0, 14.00250008
150, 117, 0, 104.7459811
26, 15, 0, -141.5398849
46, 74, 0, 51.29250623
11, 100, 0, 29.87303958
17, 125, 0, -89.74545944
97, 114, 0, -74.13997628
137, 145, 0, -10.6702329
29, 131, 0, 128.6246927
108, 73, 0, 17.42590821
120, 60, 0, -500.4086671
50, 78, 0, 4.032884137
141, 101, 0, 73.60074939
146, 112, 0, 497.8902954
40, 72, 0, 120.4456489
149, 37, 0, 83.40585446
8, 17, 0, 4.357512078
63, 62, 0, -2.141130474
50, 33, -4, -22.18086275
80, 62, 0, 90.61892727
100, 49, 0, 12.46226271
78, 72, 0, -91.59690036
12, 101, 0, -339.9433428
